Title,Timestamp,URL
Ecuador says mediation with Britain over Assange has failed,23 Feb 2018,https://uk.reuters.com/article/uk-ecuador-assange/ecuador-says-mediation-with-britain-over-assange-has-failed-idUKKCN1G72HU
May to set out Brexit wishes; EU says ideas so far are 'pure illusion',23 Feb 2018,https://uk.reuters.com/article/uk-britain-eu-may/may-to-set-out-brexit-wishes-eu-says-ideas-so-far-are-pure-illusion-idUKKCN1G71BS
Dozens killed| wounded in south Yemen attacks claimed by Islamic State,5:50pm GMT,https://uk.reuters.com/article/uk-yemen-security/dozens-killed-wounded-in-south-yemen-attacks-claimed-by-islamic-state-idUKKCN1G80P2
Death toll from Somalia blasts rises to 45 - government official,10:27am GMT,https://uk.reuters.com/article/uk-somalia-blast-toll/death-toll-from-somalia-blasts-rises-to-45-government-official-idUKKCN1G80D6
With $116 billion cash| Buffett says Berkshire needs 'huge' deals,6m ago,https://uk.reuters.com/article/uk-berkshire-buffett/with-116-billion-cash-buffett-says-berkshire-needs-huge-deals-idUKKCN1G80NN?il=0
Egypt uncovers ancient necropolis south of Cairo,15m ago,https://uk.reuters.com/article/uk-egypt-archaeology/egypt-uncovers-ancient-necropolis-south-of-cairo-idUKKCN1G80QC?il=0
Buffett says 'terrible mistake' for long-term investors to be in bonds,20m ago,https://uk.reuters.com/article/uk-berkshire-buffett-investing/buffett-says-terrible-mistake-for-long-term-investors-to-be-in-bonds-idUKKCN1G80U4?il=0
Dozens killed| wounded in south Yemen attacks claimed by Islamic State,28m ago,https://uk.reuters.com/article/uk-yemen-security/dozens-killed-wounded-in-south-yemen-attacks-claimed-by-islamic-state-idUKKCN1G80P2?il=0
Uzbekistan's ex-prosecutor general detained on graft charges,30m ago,https://uk.reuters.com/article/uk-uzbekistan-prosecutor/uzbekistans-ex-prosecutor-general-detained-on-graft-charges-idUKKCN1G80TS?il=0
Philippine Catholics protest drug killings| death penalty,38m ago,https://uk.reuters.com/article/uk-philippines-drugs-church/philippine-catholics-protest-drug-killings-death-penalty-idUKKCN1G80BD?il=0
Florida students take on NRA| set eyes on midterm elections,1h ago,https://uk.reuters.com/article/uk-usa-guns-students/florida-students-take-on-nra-set-eyes-on-midterm-elections-idUKKCN1G80HB?il=0
Prestigious U.S. colleges won't reject students who protest guns,1h ago,https://uk.reuters.com/article/uk-usa-guns-students-universities/prestigious-u-s-colleges-wont-reject-students-who-protest-guns-idUKKCN1G80S6?il=0
Red Cross says 23 staff left over sexual misconduct since 2015,1h ago,https://uk.reuters.com/article/uk-red-cross-sexual-misconduct/red-cross-says-23-staff-left-over-sexual-misconduct-since-2015-idUKKCN1G80RO?il=0
Latvian financial supervisor sees no 'panic' over ABLV bank,1h ago,https://uk.reuters.com/article/uk-latvia-banking-regulator/latvian-financial-supervisor-sees-no-panic-over-ablv-bank-idUKKCN1G70YM?il=0
ECB pulls the plug on Latvia's failing ABLV Bank,1h ago,https://uk.reuters.com/article/uk-latvia-banking-cenbank/ecb-pulls-the-plug-on-latvias-failing-ablv-bank-idUKKCN1G71US?il=0
Buffett says Berkshire can handle $400 billion mega-catastrophe,1h ago,https://uk.reuters.com/article/uk-berkshire-buffett-insurance/buffett-says-berkshire-can-handle-400-billion-mega-catastrophe-idUKKCN1G80RL?il=0
Thai activists in Pinocchio masks call junta leader 'liar',1h ago,https://uk.reuters.com/article/uk-thailand-politics/thai-activists-in-pinocchio-masks-call-junta-leader-liar-idUKKCN1G80R8?il=0
Islamic State claims responsibility for Yemen attacks - agency,1h ago,https://uk.reuters.com/article/uk-yemen-security-claim/islamic-state-claims-responsibility-for-yemen-attacks-agency-idUKKCN1G80R6?il=0
Senior German conservatives urge shift to right as Merkel picks cabinet,2h ago,https://uk.reuters.com/article/uk-germany-politics/senior-german-conservatives-urge-shift-to-right-as-merkel-picks-cabinet-idUKKCN1G80N7?il=0
Charred bodies| wounded soldiers after Congo army victory,2h ago,https://uk.reuters.com/article/uk-congo-violence/charred-bodies-wounded-soldiers-after-congo-army-victory-idUKKCN1G71KF?il=0
France's Macron engages hecklers in farm-show rite of passage,2h ago,https://uk.reuters.com/article/uk-france-agriculture-show/frances-macron-engages-hecklers-in-farm-show-rite-of-passage-idUKKCN1G80K1?il=0
Greek banks must do more to cut non-performing loans - ECB's Nouy,2h ago,https://uk.reuters.com/article/uk-eurozone-greece-banks-nouy/greek-banks-must-do-more-to-cut-non-performing-loans-ecbs-nouy-idUKKCN1G80PW?il=0
Highlights - Buffett craves acquisitions| flags bond risks in Berkshire letter,2h ago,https://uk.reuters.com/article/uk-berkshire-buffett-highlights/highlights-buffett-craves-acquisitions-flags-bond-risks-in-berkshire-letter-idUKKCN1G80PR?il=0
Italy's Fay marks new departure with designer Arthur Arbesser,2h ago,https://uk.reuters.com/article/uk-fashion-milan-fay/italys-fay-marks-new-departure-with-designer-arthur-arbesser-idUKKCN1G80PI?il=0
the week aheadTake Five - World markets themes for the week ahead,2h ago,https://uk.reuters.com/article/uk-global-markets-themes/take-five-world-markets-themes-for-the-week-ahead-idUKKCN1G7272
business'Sooner| faster| now' - companies surfing the e-commerce wave,2h ago,https://uk.reuters.com/business
sportRampant Liverpool hammer West Ham 4-1 to go secondButland howler gifts Leicester an equaliserGabbiadini secures vital point for Southampton at Burnley,2h ago,https://uk.reuters.com/news/sports
EntertainmentNanette Fabray| winner of Emmy and Tony awards| dead at 97Paul Andrew makes elegant Ferragamo debut in MilanEd Sheeran searches for new lines in movie "Songwriter",2h ago,https://uk.reuters.com/news/entertainment
Mobile industry promises smarter everything at Barcelona show,2h ago,https://uk.reuters.com/article/us-telecoms-mobileworld/mobile-industry-promises-smarter-everything-at-barcelona-show-idUKKCN1G725Q?il=0
VR takes dementia patients down memory lane,2h ago,https://uk.reuters.com/article/us-tech-dementia-vr/virtual-reality-coronation-takes-dementia-patients-down-memory-lane-idUKKCN1G723Q
Japanese scientists invent floating 'firefly' light,2h ago,https://uk.reuters.com/article/us-japan-lights-floating/japanese-scientists-invent-floating-firefly-light-idUKKCN1G7132
With $116 billion cash| Buffett says Berkshire needs 'huge' dealsWarren Buffett on Saturday lamented his inability to find big companies to buy and said his goal is to make "one or more huge acquisitions" of non-insurance businesses to bolster results at his conglomerate Berkshire Hathaway Inc .,6:13pm GMT,https://uk.reuters.com/article/uk-berkshire-buffett/with-116-billion-cash-buffett-says-berkshire-needs-huge-deals-idUKKCN1G80NN
Red Cross says 23 staff left over sexual misconduct since 2015The International Committee of the Red Cross (ICRC) said 23 staff members had left since 2015 over sexual misconduct| making it the latest humanitarian organisation to be affected by abuse allegations shaking the aid sector.,5:05pm GMT,https://uk.reuters.com/article/uk-red-cross-sexual-misconduct/red-cross-says-23-staff-left-over-sexual-misconduct-since-2015-idUKKCN1G80RO
Senior German conservatives urge shift to right as Merkel picks cabinetSeveral senior German conservatives called on Saturday for their party to shift to the right to win back voters| throwing down the gauntlet to Chancellor Angela Merkel before she announces her choice of cabinet ministers on Sunday.,4:47pm GMT,https://uk.reuters.com/article/uk-germany-politics/senior-german-conservatives-urge-shift-to-right-as-merkel-picks-cabinet-idUKKCN1G80N7
Northern Ireland abortion laws violate women's rights| U.N. body says- The United Kingdom violates women's rights in Northern Ireland by unduly restricting their access to abortion| a report by the U.N. Committee on the Elimination of Discrimination against Women (CEDAW) said on Friday.,23 Feb 2018,https://uk.reuters.com/article/uk-britain-rights-abortion/northern-ireland-abortion-laws-violate-womens-rights-u-n-body-says-idUKKCN1G71CH
Stocks climb| gold suffers as rate-hike worries easeShares rose broadly worldwide on Friday| with strong technology stocks and a retreat in Treasury yields lifting Wall Street| while gold had its biggest weekly loss this year as investors shrugged off concerns about interest rate hikes.,23 Feb 2018,https://uk.reuters.com/article/uk-global-markets/stocks-climb-gold-suffers-as-rate-hike-worries-ease-idUKKCN1G7046
Florida students take on NRA| set eyes on midterm electionsIn the week since 17 of David Hogg's classmates and teachers were gunned down in Florida| he and his fellow high schoolers have launched a movement that reshaped the gun control debate almost overnight and may influence the U.S. midterm elections.,5:14pm GMT,https://uk.reuters.com/article/uk-usa-guns-students/florida-students-take-on-nra-set-eyes-on-midterm-elections-idUKKCN1G80HB
Royal Bank of Scotland profit milestone overshadowed by DOJ impasse,5:14pm GMT,https://uk.reuters.com/article/uk-rbs-results/royal-bank-of-scotland-profit-milestone-overshadowed-by-doj-impasse-idUKKCN1G70LR
Apple moves to store iCloud keys in China| raising human rights fears,5:14pm GMT,https://uk.reuters.com/article/uk-china-apple-icloud-insight/apple-moves-to-store-icloud-keys-in-china-raising-human-rights-fears-idUKKCN1G805Z
Dropbox files for IPO of up to $500 million,5:14pm GMT,https://uk.reuters.com/article/uk-dropbox-ipo/dropbox-files-for-ipo-of-up-to-500-million-idUKKCN1G72NH
With $116 billion cash| Buffett says Berkshire needs 'huge' deals,5:14pm GMT,https://uk.reuters.com/article/us-berkshire-buffett/with-116-billion-cash-buffett-says-berkshire-needs-huge-deals-idUKKCN1G80N1
Buffett says 'terrible mistake' for long-term investors to be in bonds,5:14pm GMT,https://uk.reuters.com/article/us-berkshire-buffett-investing/buffett-says-terrible-mistake-for-long-term-investors-to-be-in-bonds-idUKKCN1G80U7
Markets fret over Federal Reserve's approach under new chair Powell,5:14pm GMT,https://uk.reuters.com/article/us-usa-stocks-weekahead/markets-fret-over-federal-reserves-approach-under-new-chair-powell-idUKKCN1G729Z
UK ideas on post-Brexit ties are 'pure illusion'| EU's Tusk says,5:14pm GMT,https://uk.reuters.com/article/uk-britain-eu-tusk/uk-ideas-on-post-brexit-ties-are-pure-illusion-eus-tusk-says-idUKKCN1G72CH
Chance of halting Brexit now close to 50:50| says leading campaigner,5:14pm GMT,https://uk.reuters.com/article/uk-britain-eu-campaigner/chance-of-halting-brexit-now-close-to-5050-says-leading-campaigner-idUKKCN1G70ZM
Haiti suspends Oxfam GB's operating right amid misconduct probe,5:14pm GMT,https://uk.reuters.com/article/uk-britain-oxfam-haiti/haiti-suspends-oxfam-gbs-operating-right-amid-misconduct-probe-idUKKCN1G62L2
Italy's League rallies in Milan as tense election campaign winds up,5:14pm GMT,https://uk.reuters.com/article/uk-italy-election-league/italys-league-rallies-in-milan-as-tense-election-campaign-winds-up-idUKKCN1G80OM
Belgian judge charges Paris attack suspect's brother with armed robbery,5:14pm GMT,https://uk.reuters.com/article/uk-belgium-security-security/belgian-judge-charges-paris-attack-suspects-brother-with-armed-robbery-idUKKCN1G80NU
U.N. South Sudan mission recalls police unit over sex abuse allegations,5:14pm GMT,https://uk.reuters.com/article/uk-southsudan-unrest/u-n-south-sudan-mission-recalls-police-unit-over-sex-abuse-allegations-idUKKCN1G80LG
Apple moves to store iCloud keys in China| raising human rights fears,5:14pm GMT,https://uk.reuters.com/article/us-china-apple-icloud-insight/apple-moves-to-store-icloud-keys-in-china-raising-human-rights-fears-idUKKCN1G8060
Google raises price of YouTube TV| adds sports| Turner,5:14pm GMT,https://uk.reuters.com/article/us-alphabet-youtubetv/google-raises-price-of-youtube-tv-adds-sports-turner-idUKKCN1G721D
Dropbox files for IPO of up to $500 million,5:14pm GMT,https://uk.reuters.com/article/us-dropbox-ipo/dropbox-files-for-ipo-of-up-to-500-million-idUKKCN1G72NF
Rampant Liverpool hammer West Ham 4-1 to go second,5:14pm GMT,https://uk.reuters.com/article/uk-soccer-england-liv-whu/rampant-liverpool-hammer-west-ham-4-1-to-go-second-idUKKCN1G80S2
Butland howler gifts Leicester an equaliser,5:14pm GMT,https://uk.reuters.com/article/uk-soccer-england-lei-stk/butland-howler-gifts-leicester-an-equaliser-idUKKCN1G80MP
Gabbiadini secures vital point for Southampton at Burnley,5:14pm GMT,https://uk.reuters.com/article/uk-soccer-england-bur-sou/gabbiadini-secures-vital-point-for-southampton-at-burnley-idUKKCN1G80SW
Pyeongchang Olympics: Day 15,5:14pm GMT,https://uk.reuters.com/news/picture/pyeongchang-olympics-day-15-idUKRTX4YNXA
Photos of the week,5:14pm GMT,https://uk.reuters.com/news/picture/photos-of-the-week-idUKRTX4YNVP
 ,5:14pm GMT,https://uk.reuters.com
